,Date,Close,Open,High,Low,Volume,Change
0,2013-09-19,2.2,2.16,2.21,2.16,208300.0,0.0
1,2013-09-20,2.2,2.21,2.21,2.19,71800.0,0.032863849765258246
2,2013-09-23,2.13,2.16,2.16,2.13,93000.0,0.004716981132075304
3,2013-09-24,2.12,2.12,2.12,2.12,1000.0,0.00952380952380949
4,2013-09-25,2.1,2.13,2.13,2.08,321100.0,0.0
5,2013-09-26,2.1,2.1,2.1,2.08,606700.0,0.004784688995215447
6,2013-09-27,2.09,2.1,2.11,2.09,157000.0,0.004807692307692291
7,2013-09-30,2.08,2.08,2.09,2.08,33500.0,0.0
8,2013-10-01,2.08,2.08,2.08,2.07,370600.0,0.0
9,2013-10-02,2.08,2.08,2.08,2.06,62900.0,0.014634146341463428
10,2013-10-03,2.05,2.06,2.08,2.04,218400.0,-0.004854368932038944
11,2013-10-04,2.06,2.05,2.07,2.05,128300.00000000001,0.0
12,2013-10-07,2.06,2.06,2.06,2.06,111600.0,0.01980198019801982
13,2013-10-08,2.02,2.06,2.09,2.02,281300.0,-0.028846153846153855
14,2013-10-09,2.08,2.08,2.08,2.08,2000.0,0.014634146341463428
15,2013-10-10,2.05,2.06,2.07,2.05,83800.0,0.0
16,2013-10-11,2.05,2.06,2.06,2.05,104300.0,0.014851485148514865
17,2013-10-14,2.02,2.05,2.05,2.02,114200.0,-0.02415458937198056
18,2013-10-16,2.07,2.03,2.08,2.03,132700.0,-0.059090909090909194
19,2013-10-17,2.2,2.08,2.2,2.08,500200.0,0.00917431192660545
20,2013-10-18,2.18,2.2,2.21,2.15,316200.0,0.004608294930875667
21,2013-10-21,2.17,2.19,2.19,2.16,115800.0,-0.03125000000000011
22,2013-10-22,2.24,2.17,2.25,2.16,512799.99999999994,-0.013215859030836885
23,2013-10-23,2.27,2.25,2.35,2.24,644500.0,0.017937219730941756
24,2013-10-24,2.23,2.27,2.27,2.22,203700.0,0.0182648401826484
25,2013-10-25,2.19,2.22,2.22,2.19,143300.0,0.0
26,2013-10-28,2.19,2.2,2.21,2.19,105000.0,-0.009049773755656076
27,2013-10-29,2.21,2.2,2.22,2.2,218100.0,-0.022123893805309658
28,2013-10-30,2.26,2.23,2.28,2.23,985100.0,0.004444444444444251
29,2013-10-31,2.25,2.23,2.25,2.23,240300.0,0.013513513513513375
30,2013-11-01,2.22,2.22,2.24,2.22,81500.0,0.0
31,2013-11-04,2.22,2.23,2.23,2.22,19500.0,-0.004484304932735328
